article_cluster,top_keywords,article_count
11293,"claudia schiffer, sachin tendulkar, shakira, sachin, tendulkar, papers",1
10810,"south sudan, oil, sudan, south africa, billion, push, south, explainer",3
10183,"moment, truth, arrives, crisishit, chinese, property, giant, evergrande",1
7912,"appeal, jason rohde, sceptical, court, reserves, judgment, convicted, wife",3
10598,"lauren dickason, exclusive, lauren, read, understand, ivf, friend, couldve",4
10799,"prince william, new, kate, kate middleton, emma raducanu, game, set, match",6
11430,"discovery, offer, hospital, home, january, works, charlotte maxeke, failure",2
10459,"tshegofatso pule, court, mastermind, bail, high court, high, attempt, family",2
9579,"climate change, africa, new, report, un, cyril ramaphosa, south africa, brics",10
10706,"court, sentenced, fraud, clerks, road accident fund, stealing, clients, years",13
9880,"wage deal, municipal, wage increase, salga, agrees, months, negotiations, deadlock",4
8521,"bakkie, ford ranger raptor, special edition, toughest, confirmed, sa, ford, fastest",2
10073,"joburg mayor, jolidee matongo, newly, appointed, jolidee, matongo, breaking, pedestrian",3
4099,"ernest msibi, actor, ties, knot, love, life",1
11040,"sa, born, lock, banned, weeks, horror, high, tackle",1
10860,"ketchup, telephone, things, world, expos, brought, us",1
8703,"dj fresh, court, dismisses, euphonik, defamation, case",1
10042,"r kelly, assistant, testifies, singer, sexual, activity",1
10819,"year, car, south african, 2021, is, opinion, sa, winner",2
11691,"cape town, cycle, tour, matters, goes, ahead, spectators",2
9994,"foreign, buyers, keen, sa, properties, price, tags, r41m",1
9950,"french, rugby, player, banned, calling, wp, junior, wing",1
9932,"podcast, boy, hanged, words, express, loss, child, father",5
11267,"safa, fans, return, vaccinated, soccer, set, wants, staff",13
11588,"tina, turner, latest, legacy, artist, sell, music, rights",1
10473,"mining charter, court, big, blow, govt, sets, aside, parts",3
10108,"blood, water, ratched, expect, season, night, house, master",28
10252,"cop, death, dna, man, court, officials, arrested, disappear",12
11187,"pick n pay, liable, woman, struck, head, boom, gate, stores",1
10420,"rescue, workers, die, search, operation, johannesburg, mine",1
10446,"traffic, long, weekend, heavy, volumes, expected, sa, roads",4
9861,"west indies, michael holding, legend, michael, holding, mic",1
10144,"sa, big, banks, grew, combined, earnings, pandemic, investec",2
11517,"des, truecrime, drama, infamous, serial, killers, uk, history",1
11278,"elon musk, grimes, trolling, nowviral, paparazzi, pics, split",1
10133,"blacks, springboks, boks, 100th, v, defeat, wallabies, expects",23
7236,"mandla lamba billionaires club, worried, members, turn, police",1
10683,"cape town, city, district, bylaws, homeless, da, good, eviction",7
9380,"mandla lamba, fsca, warns, public, billionaires, club, director",1
11463,"boeing 737 max, comair, continues, efforts, cancel, deal, planes",1
9652,"bust, tambo, arrested, r40million, tik, customs, officers, seize",2
10858,"toyota gazoo racing, replaces, v8, hilux, turbocharged, v6, racer",1
11110,"war crimes, 96yearold, german, suspect, caught, hours, run, court",1
10385,"covid19, sa, infections, continue, show, signs, sustained, downward",4
11420,"one sa, asset managers, sanlam, absa, join, forces, create, largest",1
10246,"senior, treasury, official, resigns, months, permanent, appointment",1
9661,"covid19, cape town, vaccination, watch, cape, town, site, western cape",9
10816,"elections 2021, watch, launches, manifesto, ahead, anc, elections, hub",3
9132,"auction, spectrum, ice, settlement, talks, companies, fail, communications",3
9522,"anc, opinion, party, comments, lessons, july, unrest, political party funding",13
11385,"cholesterol, high, studying, weight loss, study, debunks, belief, weight gain",12
9322,"cyclists, killed, pietermaritzburg, update, tributes, pour, wellknown, horror",4
11412,"thuso mbedu, shares, heartwarming, surprise, visit, family, friends, south africa",2
9224,"princess diana, exclusive, neverbeforeheard, stories, famous, photographs, queen, helpers",2
10807,"correctional services, lamola, appoints, samuel, thobakgale, acting, national, commissioner",1
10001,"chain, lube, gold, tokyo",1
9874,"kouga dam, visit, outside, patensie",1
11043,"taxi, associations, celebrate, violence, route",1
10793,"tuskers, csa, t20, knock, win, pool, b, action",12
9793,"fake, look, experts, spot, luxury, items, like, lv",2
11189,"cape town, cruise, tourism, resume, ships, expected",1
10101,"letter, sa, lose, figo, ecosport, bring, focus, new",1
10285,"bok, loosie, wiese, cited, player, physically, abuse",1
9360,"phonetography, tips, taking, pics, palmsized, device",1
9172,"ofentse mokwena, saa, use, healthy, dose, competition",1
181,"proteas, bavuma, series, t20, sa, ireland, windies, win",290
11540,"sharks, changes, ospreys, wales, coach, team, clash, du",10
10036,"worth, buy, low, mileage, preowned, models, good, value",1
11445,"adele, you, reasons, fans, think, singer, making, return",3
10249,"ipl, win, delhi, bangalore, help, thrash, hyderabad, faf",29
115,"baby, covid19, mom, story, hospital, life, woman, surgery",221
10084,"doctor, broke, texas, law, performed, abortion, cant, sit",1
11424,"find, locally, grown, avocados, sa, shelves, year, matter",1
8449,"bodies, healthier, big, strong, test, fit, exercise, shape",6
5475,"exodus, podcast, cult, series, awarded, best, global, year",4
10926,"ramaphosa, presses, wto, covid19, vaccine, patents, waiver",1
11513,"new zealand, trial, date, set, sa, doctor, accused, killing",1
11017,"progress, heineken, bid, klipdrift, savanna, maker, distell",1
370,"story, short, read, opinion, excerpt, it, love, survivor sa",181
10662,"coach, searches, us, football, field, find, player, necklace",1
10678,"covid19, researchers, pill, virus, new, masks, way, vaccines",17
670,"seven, tips, choosing, healthier, drinks, avoiding, hangover",1
10212,"survivor, new, watch, modern, medicine, cancer, face, brings",5
6955,"workout, training, want, moves, need, stretch, body, helpful",13
10314,"fani, titi, phuthi, mahanyeledabengwa, critical, conversation",1
10149,"fought, shark, hell, family, hopeful, paralympian, defy, odds",1
9051,"granted, tender, years, court, scam, joburg, fraudster, found",12
8917,"love, new, review, drama, story, big, new album, south africa",44
9853,"survivor sa, chappies, tyson, change, vote, trust, speak, fan",3
9825,"toyota, upcoming, corolla, cross, receives, healthy, dose, gr",1
9406,"wallabies, springboks, cooper, play, boks, gets, shock, years",8
11519,"grand, duke, russia, marries, russian, royal, wedding, century",1
10624,"judge, mnguni, widow, allowed, petition, appeal, court, burial",1
8452,"engineering, company, digs, heels, siu, accused, overreach, vbs",5
9546,"fuelefficient, diesel, vehicles, buy, sa, suzuki, anymore, rare",5
10247,"mining, meltdown, anglo, loses, r40bn, single, day, commodities",2
5181,"reopen, fire, blaze, sections, devils, peak, following, runaway",6
8966,"taliban, afghan, us, kabul, aid, government, watch, afghanistan",23
8926,"women, community, cant, stories, age, men, cape town, awareness",47
10639,"elections 2021, watch, launches, manifesto, ahead, da, live, eff",2
11330,"england, t20 world cup, india, test, ashes tour, ashes, icc, t20",12
9790,"fast food, health, inspectors, close, durban, shop, sewage, leak",1
10658,"pick n pay, bakery, sold, muffins, school, kids, wants, snowball",1
5304,"clover, factory, sa, cape town, large, hammer, north west, closes",4
10670,"south african, writer, egoli, creator, franz, marx, dies, covid19",1
10893,"agrizzi, present, court, illness, state, subpoena, doctor, explain",1
9997,"driving licence, letter, card, expired, years, ago, start, scratch",1
5245,"new, sa, jaguar, left, ferrari, engine, performance cars, preowned",18
10932,"nick hudson, opposes, sa, vaccination, plan, hasnt, company, makes",1
10281,"ryder cup, europe, us, dechambeau, mcilroy, captains, poulter, day",11
10388,"twometre, distance, prevent, covid19, virus, transmission, indoors",1
9654,"youtuber, subscribers, deleted, channel, making, crying, son, pose",2
10915,"adapt, flat, performance, acquisition, process, continues, new, ceo",2
399,"covid19, variant, variants, delta variant, new, sa, study, vaccines",249
11741,"private jet, look, airbus, turned, airliner, help, graffiti, artist",1
9688,"springboks, wallabies, world rugby, lead, atop, rankings, cut, rise",5
8129,"student, nosicelo, mtebeni, family, fort hare, death, slain, murder",19
10391,"trend, upending, status, quo, meet, gabriella, karefajohnson, black",3
11319,"covid, gauteng, long covid, living, survived, life, indepth, massive",19
11441,"diana, musical, meghan, big, princess diana, awful, amazing, viewers",6
10213,"princess, beatrice, baby, girl, welcomes, gives, birth, royal family",4
9758,"south african, wikipedia, group, appoints, ceo, nonprofit, new, boss",1
11010,"global, crime, south africa, ranks, high, index, measuring, organised",2
9699,"kim kardashian, met gala, faceless, look, aap, rocky, comforter, best",1
9828,"matric exams, education, dept, brought, forward, exams, kzn, treasury",7
7876,"minnaar, mtb, world, world cup, overall, heads, switzerland, mountain",7
10426,"south africans, raise, funds, cosmo, city, father, left, quadriplegic",1
9060,"test, india, win, t20 world cup, spectacular, batting, collapse, sees",11
11614,"zama zamas, north west, killed, north, west, standoff, mine, security",2
10253,"f1, leaked, calendar, report, grand prix, practice, russian, melbourne",5
11132,"durban, chemical spill, concern, longterm, health, impact, factory, upl",2
11158,"boity, assault, physical, media, personalities, bujy, drama, unfortunate",4
10005,"california wildfires, world, largest, tree, path, raging, desperate, bid",2
10485,"mark zuckerberg, approved, project, pushing, stories, users, news, feeds",2
10924,"credit, personal loans, credit cards, demand, climbs, sa, consumers, seek",2
9720,"reality show, activist, think, help, upcoming, causing, stir, documentary",2
9703,"restonic, sa, launches, mattresses, support, ocean, cleanup, south africa",2
9858,"spacex, crew, civilian, earth, time magazine, allcivilian, theyre, taking",6
10718,"f1, lewis hamilton, hamilton, formula 1, wins, century, best, lando norris",13
10267,"red bull, mercedes, verstappen, lewis hamilton, hamilton, f1, max, russian",16
10085,"liesl laurie, musa mthombeni, photos, musa, mthombeni, pics, white, wedding",1
6764,"unrestsa, alleged, court, instigator, ngizwe mchunu, bail, violence, unrest",41
112,"f1, verstappen, hamilton, mercedes, gp, lewis hamilton, max verstappen, 2021",305
11117,"us supreme court, hear, boston, christian, flag, dispute, justice, kavanaugh",4
3569,"aka, anele tembe, performance, death, anele, scheduled, fiancée, nedbank cup",8
8373,"eskom, allegations, umgungundlovu, asks, staff, millions, district, suspended",25
10282,"evergrande, rates, sa reserve bank, inflation, unchanged, fed, rand, probably",12
9543,"champions league, liverpool, chelsea, win, man city, league, solskjaer, ronaldo",35
9145,"antivaxxers, insurance, pressure, ceo, customers, sanlam, climate change, fuelling",9
9576,"machine gun kelly, conor mcgregor, red carpet, seemingly, fight, vmas, red, carpet",1
10361,"gauteng hospital, siu, freezes, companies, irregularly, awarded, tenders, refurbish",1
10181,"rmi, discovery, remgro, recovery, momentum metropolitan, unbundle, stakes, momentum",4
11307,"toyota corolla, hybrid, corolla cross, cross, locallybuilt, vehicle, drive, classic",3
10522,"investec property fund, vacancies, stabilise, prime, joburg, spots, remain, headache",3
10877,"steinhoff, court, asks, settlement, constitutional court, court case, shut, liquidation",3
10163,"hlengiwe mkhize, mkhize, deputy minister, official, funeral, declared, presidency, hlengiwe",4
9747,"african rainbow capital, coal mining, motsepe, exit, metrofibre, prunes, portfolio, interview",2
10825,"nike, volvo, limitededition, sustainable, sneaker, allelectric, appeal, volvo xc40 p8 recharge",2
11041,"britney spears, court, suspends, father, conservatorship, years, britney vs spears, controversial",4
10122,"protect, whistleblowers, ramaphosa, thuli madonsela, legislation, needs, expanded, babita deokaran",5
9040,"princess charlene, hospitalisation, prince albert, princess, charlene, palace, condition, reassuring",4
10956,"mall, rise, ashes",1
11258,"master, butchers, sa",1
10209,"hidden, messages, songs",1
9526,"ride, report, race, sea",1
11159,"hiv, podcast, unmuted, crime",1
9979,"resistance, band, workouts, work",1
10118,"bicycle, built, haul, braai, wood",1
9289,"hate crimes, ben, winks, bill, late",1
10100,"greg minnaar, crash, ends, mtb, season",1
11462,"eoh, recovers, billion, operating, loss",1
11013,"teacher, spends, 500, pairs, quirky, shoes",1
6494,"oceans, penguins, wearing, fly, socks, days",1
10430,"preowned, vehicles, boast, highest, mileages",1
79,"watch, new, film, love, drama, show, star, woman",383
9422,"watch, dexter, evolving, monster, limited, series",1
10453,"bp, traders, lost, billion, african, deal, debacle",1
10497,"new, h1, know, hyundai, premium, sabound, staria, mpv",1
7478,"skin, deep, lip, fillers, botox, derma, peels, popular",1
8784,"watch, art, helped, find, survived, thanks, god, grace",4
11429,"bond, box office, time, die, makes, million, local, new",3
5053,"brain, adhd, baby, explained, child, help, affect, teen",58
10804,"evergrande, china, meet, hui, ka, yan, billionaire, head",5
9392,"high court, dispute, burial, rights, judge, mnguni, ends",1
10145,"like, school, london, finally, returns, office, meetings",1
11034,"love, watch, you, cowie, adorable, local, explains, eats",3
1731,"new, season, actress, role, show, gomora, playing, queen",36
950,"ride, trout, trails, fishing, kzn, winter, river, routes",102
10648,"club, inside, glitz, glamour, royal, stellies, hot, water",3
2,"covid19, study, risk, new, patients, finds, people, covid",357
11426,"taiwan, china, president, xi, military, bow, needs, alert",6
8977,"curry, pudding, green, bean, salad, recipe, chicken, snoek",34
10086,"drones, waves, research, new, way, figure, southern, right",1
10277,"kearsney, college, host, centenary, basketball, tournament",1
11119,"minutes, state, rests, modack, lawyer, wants, reopen, bail",1
9866,"third wave, opinion, richard, van, zyl, steam, taken, toll",1
10929,"wage, numsa, strike, sibanye, steel, offer, insult, greedy",4
9007,"asian markets, stocks, us, taper, rand, weak, data, soothes",9
11331,"ipl, t20 world cup, proteas, win, delhi, mumbai, ab, bavuma",20
11241,"lesleyann, brandt, character, love, star, sa, roots, helped",9
9588,"met gala, met, gala, simone biles, 3in1, 44kg, took, people",5
11479,"tournament, clubs, chase, fc, ladies, women, league, champs",10
5257,"bitcoin, mti, sa, brothers, missing, ceo, final, liquidation",10
10208,"de, lille, da, elections 2021, cape town, cape, town, listen",3
10119,"emmys, 2021, emmy, winners, netflix, dominates, crown, sweep",4
11287,"man city, allege, staff, spat, liverpool, draw, klopp, salah",5
9365,"oppenheimer, daughter, da, single, biggest, donor, r15m, iec",2
11473,"mtb, designed, wasnt, easy, meet, world, wireless, suspension",5
9054,"sa, gdp, quarter, expected, economy, business, govt, analysts",11
9860,"boy scouts, tentatively, defeat, girl, scouts, trademark, case",1
9955,"jennifer aniston, doesnt, want, date, celebrity, desire, marry",1
10906,"mayor, enjoys, car, bodyguard, perks, despite, stepping, aside",1
11716,"toilet, discovered, jerusalem, come, complete, air, fresheners",1
8349,"women, mom, cape town, woman, local, opinion, children, school",88
9916,"judge, mnguni, buried, fears, zuma, loyalists, desecrate, grave",3
541,"questions, sis dolly, answers, burning, sex, man, experts, good",42
13,"siu, court, corruption, ppe, fraud, officials, health, msunduzi",218
10201,"dj zinhle, photo, shares, anele tembe, clears, air, mixup, anele",3
8754,"rice, potato, pork, butter, cauliflower, curry, steamed, chicken",21
2920,"schools, covid19, teachers, school, education, pupils, kzn, dept",253
10389,"4x4 trail, mitsubishi, pajero, tackles, blesfontein, farm, tracks",1
3100,"eskom, eskom files, kusile, exec, execs, paid, kickbacks, manager",48
9271,"viceroy, r50m, capitec, regulator, fines, falsely, accusing, loan",2
8923,"proteas, t20 world cup, england, squad, maharaj, t20, odi, skipper",36
8953,"simola hillclimb, cars, new, watch, sole, us, competitor, reflects",5
8509,"sa, travellers, vaccinated, finally, welcome, uae, definitely, time",4
10012,"thirdyear, law, student, street, hawker, dropping, university, lack",1
8969,"facebook, whatsapp, social media, ome, things, better, left, offline",8
11408,"french, abuse, sex, case, child sex abuse, hillsong, church, founder",6
10377,"telkom, tower business, shares, rocket, masts, set, list, separately",2
11300,"delta variant, gamechanger, ardern, admits, nz, covid, zero, strategy",1
9330,"justice, pietermaritzburg, protesters, teen, shot, times, kzn, bailed",2
11038,"premier league, improperly, influenced, blocking, newcastle, takeover",1
9017,"arrested, dagga, pietermaritzburg, women, dealing, drugs, north, coast",3
10194,"cape town, city, debt relief, offers, debt, relief, arrears, extortion",4
10850,"cape town, stock exchange, stock, exchange, opinion, close, usa, crash",5
11380,"daily lotto, results, powerball, plus, lotto, players, jackpot, person",11
8531,"digital vibes, siu, mkhize, siu report, report, health, dg, parliament",8
562,"eskom, power, sa, new, energy, powerships, load shedding, karpowership",144
10317,"south african, emergency power, banks, balk, backing, emergency, power",1
534,"money clinic, debt, money, invest, retirement, debt review, review, pay",251
10445,"shares, investors, empowerment deal, absa, planned, hands, black, staff",4
10834,"bond, james bond, iconic, daniel craig, james, kate middleton, time, die",14
9536,"ethekwini municipality, apologises, tongaat, crematorium, remains, order",1
10984,"nicky van der walt, leeann, liebenberg, 12year, anniversary, love, madly",1
5172,"dstv, prefer, flexible, package, multichoice, testing, waters, unbundling",4
9597,"load shedding, power station, kendal, fire, eskom, diesel, load, shedding",2
9049,"section 25, amendment, bill, opening, possibilities, find, common, ground",5
11723,"close, dave, chappelle, bone, embraces, cancelled, transphobic, statements",2
10538,"global citizen, billie eilish, elton john, bts, elton, john, citizen, live",2
9708,"met gala, kim kardashian, met, gala, kanye west, attend, kardashian, photos",4
11571,"90th, birthday, desmond tutu, celebrate, spending, time, family, celebrating",2
10896,"appletiser, products, recalled, cases, south africa, cocacola, wont, exactly",3
10318,"burger king, competition, tribunal, approves, sale, conditions, include, new",2
94,"zuma, anc, ramaphosa, jacob zuma, zondo commission, concourt, court, nkandla",605
10904,"gender equality, commission, calls, public, comments, state, lgbtiq, equality",2
11094,"sharks, warriors, glasgow warriors, changes, murray, koster, midfield, change",6
10152,"relativity, investment, world, personal finance, drafting, budget, expert, tips",5
10853,"win, brighton, liverpool, real madrid, sheriff, champions league, chelsea, sink",12
11549,"jake gyllenhaal, jennifer aniston, pillow, technique, filming, sex, scene, crush",1
11436,"attempted murder, sandf, soldier, intentionally, infecting, partner, hiv, accused",4
4970,"mothers, prison, parent24, series, south africa, special, investigation, maternal",3
9133,"joao rodrigues, ahmed timol, apartheidera, policeman, charged, murder, ahmed, timol",4
11023,"elon musk, biden administration, biden, administration, tesla, wants, exemption, covid19",2
10367,"measure, jabulani sikhakhane, metrics, numbers, game, sifiso skenjana, technology, evolving",2
10153,"cape town, healthcare workers, philharmonic, orchestra, concert, gratitude, healthcare, workers",2
11203,"chief justice, outsourced, ramaphosa, selection, process, john hlophe, busisiwe mkhwebane, busisiwe",2
9386,"abba, actually, likes",1
9424,"signs, financially, abused",1
10072,"black hair, redefining, images",1
11334,"pit, stop, roadside, nyala, tree, near",1
10617,"elon musk, chip shortage, chip, shortage",1
11235,"blast, kills, civilians, near, kabul, mosque",1
9464,"small, us, town, offering, people, fill, jobs",1
10775,"thembi kgatlana, review, story, tale, triumph",1
9513,"quade cooper, watch, moment, broke, sa, hearts",1
11401,"brands, lot, fun, facebook, whatsapp, instagram",1
7868,"dr congo, plane, scrapes, motorcyclist, landing",1
11073,"ford ranger fx4, watch, guy, understand, sa, love",1
10037,"review, songbirds, christy, centres, unrecognised",1
10129,"waste, dumped, umgeni, river, kwazulunatal, scary",1
11645,"denel, avoids, liquidation, outofcourt, settlement",1
8430,"driven, sa, manual, want, need, know, lexus, lc500",9
9046,"weds, joy, meryl, streep, daughter, grace, dj, mark",4
663,"new, bike, mountain, sa, review, wheels, driven, car",104
9705,"stay, bushman, nek, berg, trout, resort, high, trail",8
8347,"cars, new, sa, vehicles, smallest, preowned, sale, car",6
11021,"new, korean, drama, netflix, biggest, show, squid, game",2
11003,"pics, snake, catcher, rare, rescue, vine, snakes, durban",1
9327,"watch, ford, best, ranger, look, allnew, sabound, bakkie",1
10171,"t20, wp, knock, lions, opener, swd, wayne parnell, protea",7
9735,"coining, it, mpumalanga, woman, covered, floor, 5c, pieces",1
8356,"found, woman, man, bathtub, student, police, body, missing",26
10985,"netflix, game, like, buys, studio, south korea, quid, boosts",3
2356,"sa, travel, vaccinated, us, covid19, uk, flights, travellers",99
11229,"cyclone, oman, child, dies, flash, floods, flights, suspended",2
9934,"facebook, report, apple, knows, instagram, kids, toxic, teens",5
11520,"stormers, lock, munster, player, cited, biting, appeal, 8week",2
1906,"bok, lions, springboks, springbok, boks, test, squad, nienaber",223
598,"court, unisa, city press, anc, new, corruption, ramaphosa, pay",149
8848,"wedding dress, buy, simple, elegant, custommade, kzn, designer",1
10429,"zim, cederberg, loves, getting, lost, mining, mountain, bikers",4
9033,"cape town, city, residents, future, land, opens, housing, prasa",30
10725,"cape town, search, continues, man, fell, leopard, seal, attacks",2
9639,"cricket, pakistan, india, ipl, new zealand, tour, players, test",11
9053,"hlophe, minority, decision, proves, broken, jsc, john hlophe, it",2
9578,"tino, beautiful, tino chinyani, simz, ngema, separate, ways, end",3
9556,"us open, raducanu, slam, tennis, star, open, grand, lloyd harris",13
9471,"prince andrew, sexual assault, served, papers, us, sexual, assault",1
10316,"sugar tax, working, double, insulin, prices, tripled, past, decade",2
9031,"dancing, driving, cuddling, amazing, pics, woman, sweet, friendship",4
11456,"sa, mining, reserve bank, reserve, bank, inflation, companies, sail",8
9106,"mtb, futuristic, design, scott, patron, ebike, riding, transbaviaans",5
9844,"8yearold, durban, girl, going, viral, incredible, freehand, paintings",1
8934,"anc, councillor, candidate, thebolla, future, balance, hunt, msunduzi",7
8435,"covid19, life, springboks, quarantine, going, black, players, partied",5
8987,"south africa, closing, date, entries, extended, miss, teenager, model",4
519,"allergies, hay fever, seasonal, watch, treating, symptoms, dampen, sex",15
10372,"banyana, banyana banyana, crowned, aisha, buhari, cup, champions, goal",4
1179,"fire, cape town, cape town fire, watch, uct, firefighters, flames, man",70
10324,"know, send, resignation, letter, employers, dismiss, workers, involved",2
10702,"ryder cup, mcilroy, theegala, pga, europe, backs, harrington, disaster",5
10380,"daily lotto, powerball, plus, lotto, results, jackpot, winning, numbers",9
11425,"jason rohde, wife, killer, murder, appeal, dismissed, sentence, reduced",1
9020,"leader, nfp, zanele, died, late, national freedom party, dies, obituary",8
10387,"liverpool, chelsea, united, man city, league cup, man, solskjaer, villa",14
9440,"johannesburg, couple, winter, wonderland, wedding, pictures, went, viral",1
9659,"mandy wiener, mental health, lessons, osaka, biles, raducanu, need, look",1
10352,"mom, burnt, benoni, creche, recovering, daughter, receiving, counselling",2
10558,"biotech, billionaire, soonshiong, cancer, covid19, sa, vaccines, expedite",3
5635,"dimension data, case, jeremy ord, chair, jeremy, ord, execs, andile ngcaba",3
9580,"money, tips, time, municipal elections, elections 2021, 2021, future, plan",14
10801,"psg, klopp, man city, champions league, liverpool, guardiola, unsure, goal",12
10207,"west rand, unrestsa, anc, councillor, appears, charges, inciting, violence",2
9698,"bring, blitzboks, canada, world rugby, world cup, considers, staging, world",9
11250,"sa civil aviation authority, money, replace, calibration, aircraft, crashed",1
10672,"sandile buthelezi, digital vibes, health, dept, suspends, dg, alleged, role",1
8351,"anc, elections, ramaphosa, iec, candidates, concourt, electoral, application",34
11109,"bulls, stormers, combrinck, earns, starting, berth, connacht, ruan combrinck",5
7094,"streaming service, new, launches, britbox, south africa, south, africa, need",5
10778,"rosemary ndlovu, excop, judge, warns, murderaccused, evading, questions, court",2
10172,"sundowns, ahead, maritzburg, pirates, royal, maritzburg united, gallants, game",20
10319,"nelson mandela bay, mayor, curfew, breaking, car crash, hospital, bhanga, gives",3
10821,"r kelly, sex, found, guilty, crimes, sex trafficking, racketeering, trafficking",3
10148,"taliban, women, afghanistan, afghan, official, work, taliban takeover, fighting",9
11628,"kim kardashian, praise, skims, ignores, family, relationship, body, augmentation",3
16,"msunduzi, pietermaritzburg, municipality, city, water, residents, kzn, municipal",266
10038,"saturday profile, ahmed timol, imtiaz cajee, ahmed, timol, cajee, racially, past",1
11538,"brian laundrie, gabby petito, petito, gabrielle petito, police, gabby, days, seen",6
10174,"musa mthombeni, snaps, liesl, breathtaking, white, wedding, liesl laurie, details",2
3890,"section 25, land, anc, land expropriation, land reform, title deeds, eff, ramaphosa",45
11163,"sa money report, british american tobacco, podcast, smoking, british, american, tobacco",1
11090,"employees, united airlines, covid vaccine, vaccine mandate, fire, nearly, complying, covid",2
8494,"pietermaritzburg, outages, msunduzi, electricity, illegal connections, update, transformer, residents",18
11381,guilty,1
10517,"god, people, hurt, oppress, gays",1
9591,"powerball, draw, sitting, million",1
9247,"new, fedhealth, mtb, challenge, route",1
10614,"people, wound, icu, covid, party, canada",1
11410,"princess beatrice, watch, reveals, baby, girl",1
10897,"scenes, hope, screen, reading, book, house, gucci",1
9400,"r kelly, accuser, singer, starved, days, assaulting",1
9163,"clean, fridge, dog, toys, spring, home, plates, cups",3
9269,"jp smith, surname, joke, watch, im, going, try, dude",3
11361,"veteran, journalist, pretoria, news, editor, val, dies",1
9843,"apple, supercharged, ipad, mini, big, glorified, iphone",1
9081,"art, joburg, spreading, love, fnb, presents, open, city",7
11196,"robben island museum, pressure, mounts, answers, probes",1
9329,"prince william, kate middleton, kate, middleton, monarchy",1
8160,"look, steyn, city, new, allowing, residents, dodge, joburg",1
10646,"police, banks, set, follow, poachers, illicit, cash, trail",1
8565,"proteas, bavuma, root, england, sri lanka, test, india, sa",12
10818,"watch, egg, thrown, french, president, macron, food, trade",1
2421,"car, vehicle, tips, know, change, car doctor, avoid, winter",41
9865,"missing, door, handles, plastic, windows, weird, car, flaws",1
9461,"neighbours, war, tira, household, throats, fellow, resident",1
10180,"south africa, analysis, big, pension, gap, tax, base, right",2
8792,"george, claassen, cult, ignorance, endangers, fight, covid19",1
241,"standard bank, bank, banks, sa, new, customers, fnb, banking",173
10480,"uct, senate, favour, policy, mandatory, vast, majority, vote",2
8546,"liesl laurie, musa mthombeni, photos, inside, musa, mthombeni",1
10224,"france, uk, australia, submarine, contract, us, showing, anger",4
11742,"watch, saffas, united, sharks, celebrate, bulls, urc, comeback",1
11719,"cricket sa, posts, million, loss, covid19, hit, financial, year",1
54,"legal, nthabi, answers, questions, property, want, money, estate",49
10366,"sharks, sa rugby, redemption, goal, franchises, step, new, world",4
7063,"wage, public wage, deal, steel, numsa, offer, wage deal, workers",9
1546,"dean carelse, sa, school, teacher, arrested, child, porn, charges",1
10266,"driving, seat, black, cricket, administrators, need, look, mirror",1
10315,"fire, cape town, man, dies, newlands, apartment, block, pensioner",3
10773,"man, united, ronaldo, return, villarreal, winner, latest, everton",13
90,"sa, lions, sa rugby, rugby, lions tour, tour, springboks, british",179
9686,"spectrum, deadlock, continues, auction, experts, fret, sa, access",2
8263,"stumbling, block, looters, samsung, disables, tvs, stolen, unrest",1
9605,"crackdown, aluminium, breaks, time, years, asian markets, sink, us",5
10121,"dams, vwsa, assists, schools, cape town, water, tariffs, decreased",8
10295,"elon musk, pulled, remaining, house, market, vowing, rid, physical",1
10220,"home affairs, pics, man, arrested, authorising, official, documents",1
11335,"nateniël julies, witness, cops, charged, state, court, murder, cop",10
9748,"weather, conditions, cloudy, warm, partly, wednesday, sunshine, hot",5
9284,"wrap, godongwana, ministers, answer, questions, economy, parliament",1
9862,"cape town, informal, settlement, residents, protest, delivery, water",1
2970,"pietermaritzburg, protest, kzn, protesters, taxi, protests, n2, watch",80
9341,"sharks, bulls, currie cup final, du, toit, boost, johan goosen, brace",6
11368,"fashion week, paris, street style, picked, looks, fashion, week, inspo",2
11245,"killed, babies, like, animals, devastated, mom, murderaccused, escapes",2
8661,"standard bank, personal, named, africa, best, bank, wealth, management",4
8,"sa, msunduzi, municipalities, budget, city, covid19, municipality, govt",480
9857,"govt, school, sanitisation, tender, gauteng education, dept, gets, legal",4
8467,"coal, sa, energy, greenhouse gas emissions, jumped, years, medupi, kusile",5
9666,"beaches, kzn, ethekwini municipality, tests, sewage, remain, closed, north",3
10320,"social development, bathabile dlamini, watch, minister, bathabile, dlamini",1
8954,"arrested, suspects, robbery, house, kwazulunatal, gqeberha, vehicle, police",16
10583,"landscaping, company, workers, arrested, illegally, pruning, acacias, worth",1
11542,"alcohol industry, excise, tax, commences, honour, payment, deferred, resumes",2
11367,"bok, props, kitshoff, malherbe, world rugby, rugby championship, boks, crack",2
8991,"south africa, divorced, different, types, divorces, divorce, spouse, consent",4
3855,"2021, red carpet, brit awards, awards, looks, winners, billy porter, dua lipa",4
9840,"boarding school, netherlands, princess, alexia, heads, look, laidback, family",1
9043,"covid19, mu, variant, scientists, new, coronavirus variant, variants, vaccine",9
11348,"miss south africa, look, inside, 2021, million, prize, package, miss universe",3
11419,"chanique rabe, miss supranational, chanique, rabe, namibia, kicks, spoke, walk",3
11618,"r kelly, youtube, terminates, official, channels, linked, following, conviction",1
