e7segment,firebaseid,article_cluster,top_keywords,article_count,articles_read,page_duration
5. Super User,EXSuXAMPikUiQJhtGn6EBPo3d9m1,10186,"sa, uk, travel, us, travel restrictions, lift, time, know",11,4,249.25
4. Good User,z2RTNxhxDDZP2B9QNIQypg6JF0s1,10186,"sa, uk, travel, us, travel restrictions, lift, time, know",11,3,52.33
3. Normal User,JQw6677V2ZSatdKso9WXJAsO21K3,10186,"sa, uk, travel, us, travel restrictions, lift, time, know",11,2,212
3. Normal User,nO38WeGqx8cWwTfapbp9rN48e8q2,10186,"sa, uk, travel, us, travel restrictions, lift, time, know",11,1,900
3. Normal User,TAt3lXj5ZYakf5yL3RwxRpDiaKn1,10186,"sa, uk, travel, us, travel restrictions, lift, time, know",11,2,125
4. Good User,5Mmq8Xb9srWDCzGOCH0Zn17Q47a2,10186,"sa, uk, travel, us, travel restrictions, lift, time, know",11,7,170.57
3. Normal User,woJhXLt07WVFSnW5LXASw8iSxG42,10186,"sa, uk, travel, us, travel restrictions, lift, time, know",11,11,145.91
4. Good User,wkvJtD6i0PhrC86QyutVuza7MZ73,10186,"sa, uk, travel, us, travel restrictions, lift, time, know",11,4,82
3. Normal User,kCiRJx3MuchY1jZDWuMUTlocBOR2,10379,"sabc, tv, licence, household, levy, goodbye, hello, wants",3,2,62.5
3. Normal User,pm3DgLZJohdGR5Y5UdGHwUhdKDC3,10379,"sabc, tv, licence, household, levy, goodbye, hello, wants",3,2,1
4. Good User,uiBPgqqzu3dltYPb70Ub42hAY522,10379,"sabc, tv, licence, household, levy, goodbye, hello, wants",3,2,226.5
3. Normal User,NDAOp7NN2dXl2ZoLKXYwWEPQXfY2,10379,"sabc, tv, licence, household, levy, goodbye, hello, wants",3,2,35.5
3. Normal User,lfoXTnuiF7ded5nI0wCfXdNlyhz2,10379,"sabc, tv, licence, household, levy, goodbye, hello, wants",3,1,111
3. Normal User,wAby6fetLOgj7kX8Cr6IxextSyE3,11267,"safa, fans, return, vaccinated, soccer, set, wants, staff",13,8,63.13
4. Good User,kwtHsNduGiXToWXy0YtpaNTgh3m2,10376,"ahead, saa, takatso, takeoff, makes, clear, involved, days",2,3,600
4. Good User,m6ST7XHteVVOsNKD1oZ2tig2ZdZ2,9160,"court, eskom files, slush, fund, limpopo, mec, case, takes",5,2,485.5
4. Good User,1pbiHvUAFkhk5P9RcR1jhQcAZ4S2,9160,"court, eskom files, slush, fund, limpopo, mec, case, takes",5,6,314.5
3. Normal User,wkZDmkuKdLc3DZ4ejvdOC8c28ry1,9160,"court, eskom files, slush, fund, limpopo, mec, case, takes",5,2,451
2. Low Score,24tkuNSwAgb2zOGnr5Fq3adBJeY2,9160,"court, eskom files, slush, fund, limpopo, mec, case, takes",5,2,140.5
3. Normal User,K5RAc6DW5CTx0jo29D57E0q46zI3,9160,"court, eskom files, slush, fund, limpopo, mec, case, takes",5,1,84
2. Low Score,9nd97g2Kyhefv5UVBKCSrlPMdbp2,9160,"court, eskom files, slush, fund, limpopo, mec, case, takes",5,1,197
3. Normal User,sdk7ge576mhKstpus1Fe0sKjKUs2,9160,"court, eskom files, slush, fund, limpopo, mec, case, takes",5,2,283.5
4. Good User,9sqdgqAtMugPB5inhNFCN1laZpD3,9160,"court, eskom files, slush, fund, limpopo, mec, case, takes",5,3,372
3. Normal User,4RD1E45WDieUCnyUIMCjS9dTPVF3,9160,"court, eskom files, slush, fund, limpopo, mec, case, takes",5,2,9.5
4. Good User,kL4fqkIr0mfKCeWRoo0Zv9OkCIr1,9160,"court, eskom files, slush, fund, limpopo, mec, case, takes",5,3,73
3. Normal User,GNVCXuSli8dDvNfIwaxf63ZlV503,9160,"court, eskom files, slush, fund, limpopo, mec, case, takes",5,1,900
4. Good User,g1rxqlvJXCZ8Eo5ntmoOVs53bNi2,9160,"court, eskom files, slush, fund, limpopo, mec, case, takes",5,5,276.2
2. Low Score,Jj0o6gN1OMZZpFi8t6w6K4t0Mr62,10086,"drones, waves, research, new, way, figure, southern, right",1,1,0
2. Low Score,aDWRuNbo6NY4c3n5polkZE4N9Ew1,10086,"drones, waves, research, new, way, figure, southern, right",1,1,30
2. Low Score,s8l1nO5XJUNXMKdFgCchomvWUnB2,9427,"fitch, refers, taiwan, china, jolts, traders, irks, taipei",1,1,112
3. Normal User,t8vX82GKevPAcyPzUwiZNbFk7Xl1,10751,"killed, crashes, crash, injured, people, death, kzn, roads",7,2,73.5
4. Good User,AZLowSqFSPUcteOVJulv6I8Xbo02,10751,"killed, crashes, crash, injured, people, death, kzn, roads",7,2,0.5
3. Normal User,hI8ItpT1okcgmj6cnBmMd9QuN4N2,10751,"killed, crashes, crash, injured, people, death, kzn, roads",7,1,900
2. Low Score,ElhqmsMryBa4GCxgLNaIFPW5la53,10751,"killed, crashes, crash, injured, people, death, kzn, roads",7,2,32.5
3. Normal User,BArl5LjnvUUGrKYrQYxgga6Xw8o1,10751,"killed, crashes, crash, injured, people, death, kzn, roads",7,1,344
