e7segment,cluster_id,num_users,num_reads,total_duration,avg_reads,avg_duration
2. Low Score,8921,2284,3628,903000,1.59,395.36
3. Normal User,30,88,140,29174,1.59,331.52
3. Normal User,159,333,531,52229,1.59,156.84
3. Normal User,9598,2911,4628,487709,1.59,167.54
3. Normal User,9606,1329,2114,253010,1.59,190.38
3. Normal User,9521,1388,2205,285079,1.59,205.39
3. Normal User,9634,3957,6310,1089461,1.59,275.32
3. Normal User,69,204,324,72823,1.59,356.98
3. Normal User,8781,1745,2767,448993,1.59,257.3
2. Low Score,79,34,54,8364,1.59,246.0
4. Good User,10707,44,70,11278,1.59,256.32
4. Good User,10816,17,27,1361,1.59,80.06
4. Good User,10224,17,27,3637,1.59,213.94
4. Good User,8479,22,35,3790,1.59,172.27
3. Normal User,15,2358,3718,608158,1.58,257.91
3. Normal User,563,89,141,26583,1.58,298.69
1. Very Low Score,6479,12,19,3431,1.58,285.92
2. Low Score,8359,3408,5395,1197024,1.58,351.24
2. Low Score,598,256,404,77196,1.58,301.55
2. Low Score,950,83,131,19320,1.58,232.77
4. Good User,10089,36,57,15427,1.58,428.53
4. Good User,10315,43,68,4943,1.58,114.95
4. Good User,10146,26,41,6715,1.58,258.27
4. Good User,9280,31,49,10384,1.58,334.97
2. Low Score,8370,104,164,27023,1.58,259.84
3. Normal User,674,45,71,7534,1.58,167.42
4. Good User,9362,45,71,5632,1.58,125.16
1. Very Low Score,534,26,41,10392,1.58,399.69
1. Very Low Score,480,19,30,8189,1.58,431.0
2. Low Score,241,88,139,23597,1.58,268.15
2. Low Score,3274,12,19,5186,1.58,432.17
4. Good User,10697,36,57,11016,1.58,306.0
4. Good User,9556,24,38,9160,1.58,381.67
3. Normal User,10510,38,60,9899,1.58,260.5
2. Low Score,8804,19,30,1219,1.58,64.16
4. Good User,10059,24,38,671,1.58,27.96
4. Good User,10171,12,19,4917,1.58,409.75
2. Low Score,9594,19,30,5136,1.58,270.32
2. Low Score,1930,12,19,3064,1.58,255.33
2. Low Score,8498,1044,1638,220650,1.57,211.35
2. Low Score,8920,2575,4050,769971,1.57,299.02
2. Low Score,9527,851,1332,214405,1.57,251.94
3. Normal User,10108,2361,3713,494892,1.57,209.61
2. Low Score,10110,1860,2919,560931,1.57,301.58
3. Normal User,8080,7,11,2641,1.57,377.29
0. No activity for 3 weeks,6,7,11,2270,1.57,324.29
3. Normal User,10745,4024,6317,1072523,1.57,266.53
3. Normal User,10718,873,1367,222849,1.57,255.27
3. Normal User,489,28,44,5892,1.57,210.43
2. Low Score,9914,1592,2496,479479,1.57,301.18
3. Normal User,5245,60,94,16362,1.57,272.7
4. Good User,10073,79,124,21536,1.57,272.61
2. Low Score,10059,443,694,35218,1.57,79.5
3. Normal User,6430,28,44,7445,1.57,265.89
4. Good User,8372,49,77,9902,1.57,202.08
1. Very Low Score,6490,14,22,2685,1.57,191.79
3. Normal User,6498,14,22,3024,1.57,216.0
2. Low Score,5258,7,11,2528,1.57,361.14
2. Low Score,8329,14,22,6135,1.57,438.21
3. Normal User,10787,7,11,366,1.57,52.29
4. Good User,9733,7,11,1521,1.57,217.29
2. Low Score,222,7,11,1281,1.57,183.0
3. Normal User,2193,14,22,3994,1.57,285.29
2. Low Score,1008,7,11,1840,1.57,262.86
2. Low Score,8578,23,36,3559,1.57,154.74
2. Low Score,8687,7,11,3501,1.57,500.14
4. Good User,9157,27,42,4530,1.56,167.78
3. Normal User,5721,113,176,7929,1.56,70.17
4. Good User,9046,18,28,4017,1.56,223.17
3. Normal User,608,329,514,93197,1.56,283.27
1. Very Low Score,9532,911,1421,251124,1.56,275.66
2. Low Score,634,9,14,5565,1.56,618.33
3. Normal User,9317,9,14,3986,1.56,442.89
2. Low Score,4141,9,14,3406,1.56,378.44
3. Normal User,10122,2610,4083,723778,1.56,277.31
3. Normal User,6186,16,25,2861,1.56,178.81
3. Normal User,8285,9,14,1028,1.56,114.22
1. Very Low Score,94,41,64,9746,1.56,237.71
4. Good User,8530,16,25,4601,1.56,287.56
3. Normal User,10706,1637,2549,244178,1.56,149.16
3. Normal User,10898,198,309,22916,1.56,115.74
2. Low Score,326,39,61,12828,1.56,328.92
4. Good User,8833,34,53,19066,1.56,560.76
3. Normal User,5010,27,42,9393,1.56,347.89
4. Good User,10782,25,39,8742,1.56,349.68
4. Good User,8750,9,14,1212,1.56,134.67
4. Good User,8430,18,28,3903,1.56,216.83
4. Good User,9245,9,14,1788,1.56,198.67
1. Very Low Score,8410,16,25,4711,1.56,294.44
4. Good User,10109,16,25,4677,1.56,292.31
3. Normal User,1754,9,14,2166,1.56,240.67
4. Good User,9793,9,14,2044,1.56,227.11
0. No activity for 3 weeks,8993,114,177,43152,1.55,378.53
4. Good User,9114,22,34,3541,1.55,160.95
3. Normal User,2356,67,104,13459,1.55,200.88
2. Low Score,8540,33,51,6302,1.55,190.97
4. Good User,8999,20,31,2254,1.55,112.7
2. Low Score,9324,11,17,1355,1.55,123.18
3. Normal User,7824,65,101,18065,1.55,277.92
2. Low Score,10186,3271,5058,849795,1.55,259.8
2. Low Score,9513,22,34,1431,1.55,65.05
3. Normal User,7352,11,17,2701,1.55,245.55
1. Very Low Score,9866,20,31,6084,1.55,304.2
2. Low Score,353,55,85,11475,1.55,208.64
4. Good User,10731,22,34,5019,1.55,228.14
3. Normal User,23,29,45,11734,1.55,404.62
4. Good User,10821,20,31,2403,1.55,120.15
4. Good User,10926,11,17,1260,1.55,114.55
4. Good User,10889,11,17,1118,1.55,101.64
4. Good User,8509,20,31,4406,1.55,220.3
2. Low Score,9569,11,17,1647,1.55,149.73
3. Normal User,9237,3187,4900,578269,1.54,181.45
4. Good User,9193,28,43,6539,1.54,233.54
4. Good User,9630,13,20,2957,1.54,227.46
2. Low Score,10387,267,412,60129,1.54,225.2
2. Low Score,8722,70,108,9788,1.54,139.83
2. Low Score,370,48,74,11755,1.54,244.9
4. Good User,8480,56,86,9317,1.54,166.38
2. Low Score,10898,26,40,1963,1.54,75.5
3. Normal User,7255,24,37,5687,1.54,236.96
2. Low Score,115,87,134,21808,1.54,250.67
4. Good User,10683,24,37,2682,1.54,111.75
4. Good User,10778,24,37,5230,1.54,217.92
4. Good User,8965,13,20,2881,1.54,221.62
2. Low Score,9072,1350,2063,346147,1.53,256.41
2. Low Score,608,189,290,73139,1.53,386.98
1. Very Low Score,8348,618,947,170900,1.53,276.54
3. Normal User,9060,2035,3112,482670,1.53,237.18
2. Low Score,69,216,330,83277,1.53,385.54
2. Low Score,9564,2846,4350,848877,1.53,298.27
1. Very Low Score,9534,830,1270,256447,1.53,308.97
2. Low Score,10521,1412,2165,361754,1.53,256.2
1. Very Low Score,9326,15,23,6858,1.53,457.2
2. Low Score,8432,87,133,27021,1.53,310.59
4. Good User,9748,15,23,1771,1.53,118.07
1. Very Low Score,6,51,78,15978,1.53,313.29
4. Good User,10161,45,69,11267,1.53,250.38
2. Low Score,10072,17,26,3551,1.53,208.88
3. Normal User,326,38,58,7082,1.53,186.37
4. Good User,10272,32,49,4145,1.53,129.53
2. Low Score,9211,15,23,768,1.53,51.2
4. Good User,10282,38,58,14274,1.53,375.63
3. Normal User,8947,1234,1875,239981,1.52,194.47
0. No activity for 3 weeks,8348,124,189,42443,1.52,342.28
3. Normal User,9635,3208,4880,1031193,1.52,321.44
4. Good User,9659,23,35,6392,1.52,277.91
2. Low Score,9760,85,129,16622,1.52,195.55
3. Normal User,10253,726,1104,178838,1.52,246.33
0. No activity for 3 weeks,9541,25,38,5261,1.52,210.44
2. Low Score,8463,861,1308,227909,1.52,264.7
4. Good User,8589,48,73,12635,1.52,263.23
2. Low Score,10684,2484,3785,639242,1.52,257.34
3. Normal User,10801,359,545,77465,1.52,215.78
4. Good User,10909,23,35,5098,1.52,221.65
4. Good User,10069,66,100,11910,1.52,180.45
3. Normal User,6406,56,85,16504,1.52,294.71
3. Normal User,8586,2830,4312,598170,1.52,211.37
2. Low Score,8448,33,50,8579,1.52,259.97
3. Normal User,8981,1407,2128,359868,1.51,255.77
3. Normal User,9059,707,1070,106080,1.51,150.04
3. Normal User,9033,2156,3257,458615,1.51,212.72
2. Low Score,8998,1593,2409,417763,1.51,262.25
2. Low Score,8427,1687,2553,389586,1.51,230.93
3. Normal User,8,67,101,21959,1.51,327.75
3. Normal User,9613,2644,3982,571909,1.51,216.3
3. Normal User,370,63,95,16159,1.51,256.49
2. Low Score,159,154,233,18439,1.51,119.73
3. Normal User,8948,3105,4672,706703,1.5,227.6
1. Very Low Score,8959,967,1455,282585,1.5,292.23
2. Low Score,9266,16,24,437,1.5,27.31
